rebalance_date,rank,symbol,score,weight
2015-01-31,1,LUV,2.8719965736239557,0.05
2015-01-31,2,EW,2.3133093339476107,0.05
2015-01-31,3,EA,2.1177862587217735,0.05
2015-01-31,4,MNST,1.9101015447539909,0.05
2015-01-31,5,AGN-201503,1.8372261504761427,0.05
2015-01-31,6,DAL,1.7299261364417835,0.05
2015-01-31,7,BBWI,1.6147507572133468,0.05
2015-01-31,8,REGN,1.6026658308727595,0.05
2015-01-31,9,KR,1.5682317000029933,0.05
2015-01-31,10,LOW,1.457770245115885,0.05
2015-01-31,11,SPLS-201709,1.4540823745759153,0.05
2015-01-31,12,SIAL-201511,1.3911851220905582,0.05
2015-01-31,13,VRTX,1.3815572958758668,0.05
2015-01-31,14,CFN-201503,1.3801053438588045,0.05
2015-01-31,15,MAR,1.316899114057525,0.05
2015-01-31,16,AMGN,1.304649205418974,0.05
2015-01-31,17,ORLY,1.268640983367003,0.05
2015-01-31,18,MAC,1.2160456299121583,0.05
2015-01-31,19,KDP,1.207396761221747,0.05
2015-01-31,20,SHW,1.1843648571708978,0.05
2015-02-28,1,LUV,2.634409066629681,0.05
2015-02-28,2,EA,2.577943962758104,0.05
2015-02-28,3,MNST,2.4307373529183867,0.05
2015-02-28,4,KR,2.062956954341775,0.05
2015-02-28,5,EW,1.98982858316554,0.05
2015-02-28,6,AGN-201503,1.8546477810814253,0.05
2015-02-28,7,BBWI,1.829597349789326,0.05
2015-02-28,8,KDP,1.5368640535632407,0.05
2015-02-28,9,ANDV-201809,1.4911513806260652,0.05
2015-02-28,10,WHR,1.4807867936047472,0.05
2015-02-28,11,CELG-201911,1.4758382531040843,0.05
2015-02-28,12,LOW,1.4630064268237535,0.05
2015-02-28,13,MAC,1.4563572483632914,0.05
2015-02-28,14,MO,1.4360154861760561,0.05
2015-02-28,15,SIAL-201511,1.3739239049892502,0.05
2015-02-28,16,AAPL,1.3702654905972924,0.05
2015-02-28,17,IRM,1.3672327670921818,0.05
2015-02-28,18,SPLS-201709,1.3471518633571418,0.05
2015-02-28,19,GGP-201808,1.3180325344737471,0.05
2015-02-28,20,SHW,1.2799293678262906,0.05
2015-03-31,1,HSP-201509,2.5925041706728145,0.05
2015-03-31,2,MNST,2.3966250688336137,0.05
2015-03-31,3,EA,2.3618825192987045,0.05
2015-03-31,4,ANDV-201809,2.005048216128651,0.05
2015-03-31,5,AGN-201503,1.9916596985829083,0.05
2015-03-31,6,LUV,1.9904034303293217,0.05
2015-03-31,7,BBWI,1.929068114095092,0.05
2015-03-31,8,EW,1.9220783611230035,0.05
2015-03-31,9,KR,1.798387528293436,0.05
2015-03-31,10,DLTR,1.5549583962257534,0.05
2015-03-31,11,AAPL,1.5454190479767382,0.05
2015-03-31,12,MO,1.5337940207529106,0.05
2015-03-31,13,LOW,1.5180760422943067,0.05
2015-03-31,14,WHR,1.4452134702773158,0.05
2015-03-31,15,FTRCQ-202104,1.4430515423932855,0.05
2015-03-31,16,ROST,1.4353166261557813,0.05
2015-03-31,17,ELV,1.410902065504564,0.05
2015-03-31,18,RAI-201707,1.3991123971584831,0.05
