date,symbol,side,price,shares,value,commission
2015-01-30,LUV,BUY_REBAL,39.898903,313,12488.356,28.723220825195312
2015-01-30,EW,BUY_REBAL,20.891645,598,12493.204,28.7343692779541
2015-01-30,EA,BUY_REBAL,53.340034,234,12481.568,28.70760726928711
2015-01-30,MNST,BUY_REBAL,19.491646,641,12494.145,28.73653221130371
2015-01-30,AGN-201503,BUY_REBAL,219.2127,57,12495.124,28.738786697387695
2015-01-30,DAL,BUY_REBAL,41.431156,301,12470.778,28.682790756225586
2015-01-30,BBWI,BUY_REBAL,46.15546,270,12461.975,28.66254234313965
2015-01-30,REGN,BUY_REBAL,414.36188,30,12430.856,28.590970993041992
2015-01-30,KR,BUY_REBAL,27.919355,447,12479.952,28.703889846801758
2015-01-30,LOW,BUY_REBAL,55.48631,225,12484.42,28.71416664123535
2015-01-30,SPLS-201709,BUY_REBAL,15.168341,824,12498.713,28.747039794921875
2015-01-30,SIAL-201511,BUY_REBAL,136.8387,91,12452.321,28.640338897705078
2015-01-30,VRTX,BUY_REBAL,110.14,113,12445.82,28.62538719177246
2015-01-30,CFN-201503,BUY_REBAL,59.3,210,12453.0,28.64190101623535
2015-01-30,MAR,BUY_REBAL,66.88217,186,12440.084,28.612194061279297
2015-01-30,AMGN,BUY_REBAL,110.880135,112,12418.575,28.56272315979004
2015-01-30,ORLY,BUY_REBAL,12.490728,1000,12490.729,28.728675842285156
2015-01-30,MAC,BUY_REBAL,44.906963,278,12484.136,28.713512420654297
2015-01-30,KDP,BUY_REBAL,9.612064,1300,12495.684,28.74007225036621
2015-01-30,SHW,BUY_REBAL,81.582275,152,12400.506,28.521163940429688
2015-02-27,EW,SELL_REBAL,22.399975,14,313.59964,23.0
2015-02-27,MNST,SELL_REBAL,23.189976,77,1785.6282,23.0
2015-02-27,DAL,SELL_REBAL,40.1896,301,12097.07,27.82326316833496
2015-02-27,BBWI,SELL_REBAL,51.393276,15,770.8992,23.0
2015-02-27,REGN,SELL_REBAL,418.71774,30,12561.532,28.891525268554688
2015-02-27,LOW,SELL_REBAL,60.481388,8,483.8511,23.0
2015-02-27,VRTX,SELL_REBAL,119.92,113,13550.96,31.167207717895508
2015-02-27,CFN-201503,SELL_REBAL,60.18,210,12637.8,29.066940307617188
2015-02-27,MAR,SELL_REBAL,74.97364,186,13945.097,32.07372283935547
2015-02-27,AMGN,SELL_REBAL,116.474625,112,13045.158,30.003864288330078
2015-02-27,ORLY,SELL_REBAL,13.986736,1000,13986.736,32.16949462890625
2015-02-27,SHW,SELL_REBAL,86.75857,1,86.75857,23.0
2015-02-27,LUV,BUY_REBAL,38.18567,22,840.0847,23.0
